Security Code,Security Id,Security Name
500002,ABB,ABB India Ltd
500003,AEGISLOG,Aegis Logistics Ltd
500008,ARE&M,Amara Raja Energy & Mobility Ltd
500009,AMBALALSA,Ambalal Sarabhai Enterprises Ltd
500012,ANDHRAPET,Andhra Petrochemicals Ltd
